Column_Data_00
    step        time[-]    v_max[-]  ItrD Divergence[max]  ItrP         r_x    deltaP_P        rmsP       avrP       rmsV     time[sec]
     183   5.718750e-01  1.6611e-01   500     1.46144e-03   501  2.3811e-06  4.9119e-06   6.044e-03  9.146e-06  6.867e+00  3.162014e-02
     184   5.750000e-01  1.6820e-01   500     1.51083e-03   501  2.3507e-06  4.8492e-06   6.009e-03  9.381e-06  6.911e+00  4.731828e-02
     185   5.781250e-01  1.7030e-01   500     1.56159e-03   501  2.3205e-06  4.7869e-06   5.973e-03  9.619e-06  6.955e+00  3.654416e-02
     186   5.812500e-01  1.7242e-01   500     1.61374e-03   501  2.2905e-06  4.7250e-06   5.936e-03  9.862e-06  6.999e+00  4.046093e-02
     187   5.843750e-01  1.7454e-01   500     1.66730e-03   501  2.2607e-06  4.6635e-06   5.899e-03  1.011e-05  7.043e+00  3.508083e-02
     188   5.875000e-01  1.7667e-01   500     1.72230e-03   501  2.2310e-06  4.6023e-06   5.862e-03  1.036e-05  7.087e+00  3.862667e-02
     189   5.906250e-01  1.7881e-01   500     1.77878e-03   501  2.2016e-06  4.5415e-06   5.823e-03  1.061e-05  7.131e+00  3.091704e-02
     190   5.937500e-01  1.8096e-01   500     1.83675e-03   501  2.1723e-06  4.4811e-06   5.784e-03  1.087e-05  7.175e+00  3.639533e-02
     191   5.968750e-01  1.8311e-01   500     1.89626e-03   501  2.1432e-06  4.4210e-06   5.745e-03  1.114e-05  7.218e+00  3.700737e-02
     192   6.000000e-01  1.8528e-01   500     1.95732e-03   501  2.1142e-06  4.3613e-06   5.704e-03  1.140e-05  7.262e+00  3.637772e-02
     193   6.031250e-01  1.8745e-01   500     2.01996e-03   501  2.0854e-06  4.3019e-06   5.664e-03  1.168e-05  7.306e+00  3.003110e-02
     194   6.062500e-01  1.8963e-01   500     2.08423e-03   501  2.0568e-06  4.2429e-06   5.622e-03  1.195e-05  7.349e+00  3.655850e-02
     195   6.093750e-01  1.9182e-01   500     2.15014e-03   501  2.0283e-06  4.1841e-06   5.580e-03  1.223e-05  7.393e+00  3.646673e-02
     196   6.125000e-01  1.9402e-01   500     2.21772e-03   501  2.0000e-06  4.1257e-06   5.538e-03  1.252e-05  7.436e+00  3.547837e-02
     197   6.156250e-01  1.9622e-01   500     2.28702e-03   501  1.9718e-06  4.0676e-06   5.495e-03  1.281e-05  7.480e+00  3.754746e-02
     198   6.187500e-01  1.9844e-01   500     2.35804e-03   501  1.9438e-06  4.0098e-06   5.452e-03  1.310e-05  7.523e+00  3.004414e-02
     199   6.218750e-01  2.0066e-01   500     2.43084e-03   501  1.9160e-06  3.9523e-06   5.407e-03  1.340e-05  7.566e+00  3.756043e-02
     200   6.250000e-01  2.0288e-01   500     2.50543e-03   501  1.8882e-06  3.8951e-06   5.363e-03  1.370e-05  7.609e+00  5.120296e-02
     201   6.281250e-01  2.0511e-01   500     2.58185e-03   501  1.8606e-06  3.8382e-06   5.318e-03  1.401e-05  7.652e+00  4.004477e-02
     202   6.312500e-01  2.0735e-01   500     2.66014e-03   501  1.8332e-06  3.7816e-06   5.272e-03  1.432e-05  7.695e+00  3.810820e-02
     203   6.343750e-01  2.0960e-01   500     2.74031e-03   501  1.8058e-06  3.7252e-06   5.226e-03  1.463e-05  7.738e+00  3.640266e-02
     204   6.375000e-01  2.1185e-01   500     2.82241e-03   501  1.7786e-06  3.6691e-06   5.180e-03  1.495e-05  7.781e+00  3.627898e-02
     205   6.406250e-01  2.1411e-01   500     2.90646e-03   501  1.7516e-06  3.6133e-06   5.133e-03  1.528e-05  7.823e+00  3.594141e-02
     206   6.437500e-01  2.1638e-01   500     2.99250e-03   501  1.7246e-06  3.5577e-06   5.085e-03  1.560e-05  7.866e+00  3.659162e-02
     207   6.468750e-01  2.1865e-01   500     3.08056e-03   501  1.6978e-06  3.5023e-06   5.037e-03  1.594e-05  7.908e+00  3.615783e-02
     208   6.500000e-01  2.2092e-01   500     3.17067e-03   501  1.6711e-06  3.4472e-06   4.989e-03  1.627e-05  7.951e+00  3.613875e-02
     209   6.531250e-01  2.2321e-01   500     3.26286e-03   501  1.6445e-06  3.3924e-06   4.940e-03  1.662e-05  7.993e+00  3.863430e-02
     210   6.562500e-01  2.2549e-01   500     3.35718e-03   501  1.6180e-06  3.3378e-06   4.891e-03  1.696e-05  8.035e+00  3.679869e-02
     211   6.593750e-01  2.2779e-01   500     3.45363e-03   501  1.5917e-06  3.2834e-06   4.841e-03  1.731e-05  8.077e+00  3.558288e-02
     212   6.625000e-01  2.3008e-01   500     3.55228e-03   501  1.5654e-06  3.2292e-06   4.792e-03  1.767e-05  8.119e+00  4.665117e-02
     213   6.656250e-01  2.3239e-01   500     3.65313e-03   501  1.5393e-06  3.1753e-06   4.741e-03  1.803e-05  8.161e+00  4.201813e-02
     214   6.687500e-01  2.3469e-01   500     3.75623e-03   501  1.5132e-06  3.1215e-06   4.691e-03  1.839e-05  8.203e+00  4.265734e-02
     215   6.718750e-01  2.3701e-01   500     3.86161e-03   501  1.4873e-06  3.0680e-06   4.640e-03  1.876e-05  8.245e+00  3.600732e-02
     216   6.750000e-01  2.3932e-01   500     3.96931e-03   501  1.4614e-06  3.0147e-06   4.588e-03  1.913e-05  8.286e+00  3.682149e-02
     217   6.781250e-01  2.4164e-01   500     4.07935e-03   501  1.4357e-06  2.9616e-06   4.537e-03  1.951e-05  8.328e+00  1.060781e-01
     218   6.812500e-01  2.4397e-01   500     4.19176e-03   501  1.4100e-06  2.9087e-06   4.485e-03  1.989e-05  8.369e+00  3.072323e-02
     219   6.843750e-01  2.4629e-01   500     4.30659e-03   501  1.3845e-06  2.8559e-06   4.433e-03  2.028e-05  8.410e+00  3.705765e-02
     220   6.875000e-01  2.4863e-01   500     4.42386e-03   501  1.3590e-06  2.8034e-06   4.380e-03  2.067e-05  8.452e+00  3.743979e-02
     221   6.906250e-01  2.5096e-01   500     4.54361e-03   501  1.3336e-06  2.7511e-06   4.328e-03  2.106e-05  8.493e+00  4.060283e-02
     222   6.937500e-01  2.5331e-01   500     4.66587e-03   501  1.3083e-06  2.6989e-06   4.275e-03  2.146e-05  8.534e+00  3.862279e-02
     223   6.968750e-01  2.5566e-01   500     4.79067e-03   501  1.2831e-06  2.6469e-06   4.222e-03  2.187e-05  8.574e+00  3.702031e-02
     224   7.000000e-01  2.5801e-01   500     4.91804e-03   501  1.2580e-06  2.5951e-06   4.169e-03  2.228e-05  8.615e+00  5.086193e-02
     225   7.031250e-01  2.6036e-01   500     5.04802e-03   501  1.2330e-06  2.5435e-06   4.116e-03  2.269e-05  8.656e+00  3.679381e-02
     226   7.062500e-01  2.6272e-01   500     5.18064e-03   501  1.2081e-06  2.4921e-06   4.062e-03  2.311e-05  8.696e+00  3.677345e-02
     227   7.093750e-01  2.6507e-01   500     5.31593e-03   501  1.1832e-06  2.4408e-06   4.009e-03  2.353e-05  8.737e+00  3.654694e-02
     228   7.125000e-01  2.6744e-01   500     5.45392e-03   501  1.1584e-06  2.3896e-06   3.955e-03  2.395e-05  8.777e+00  3.691290e-02
     229   7.156250e-01  2.6980e-01   500     5.59464e-03   501  1.1337e-06  2.3387e-06   3.902e-03  2.438e-05  8.817e+00  3.559163e-02
     230   7.187500e-01  2.7216e-01   500     5.73813e-03   501  1.1091e-06  2.2879e-06   3.848e-03  2.482e-05  8.857e+00  3.656338e-02
     231   7.218750e-01  2.7453e-01   500     5.88442e-03   501  1.0846e-06  2.2373e-06   3.795e-03  2.525e-05  8.897e+00  3.583918e-02
     232   7.250000e-01  2.7690e-01   500     6.03353e-03   501  1.0601e-06  2.1868e-06   3.741e-03  2.570e-05  8.937e+00  3.809931e-02
     233   7.281250e-01  2.7927e-01   500     6.18551e-03   501  1.0357e-06  2.1365e-06   3.688e-03  2.614e-05  8.976e+00  3.832956e-02
     234   7.312500e-01  2.8164e-01   500     6.34037e-03   501  1.0114e-06  2.0863e-06   3.635e-03  2.659e-05  9.016e+00  3.676356e-02
     235   7.343750e-01  2.8401e-01   500     6.49814e-03   501  9.8715e-07  2.0363e-06   3.582e-03  2.705e-05  9.055e+00  3.603865e-02
     236   7.375000e-01  2.8638e-01   500     6.65887e-03   501  9.6300e-07  1.9865e-06   3.529e-03  2.751e-05  9.095e+00  5.918580e-02
     237   7.406250e-01  2.8876e-01   500     6.82257e-03   501  9.3892e-07  1.9368e-06   3.476e-03  2.797e-05  9.134e+00  3.919114e-02
     238   7.437500e-01  2.9113e-01   500     6.98928e-03   501  9.1492e-07  1.8873e-06   3.424e-03  2.844e-05  9.173e+00  4.001747e-02
     239   7.468750e-01  2.9350e-01   500     7.15902e-03   501  8.9099e-07  1.8380e-06   3.372e-03  2.891e-05  9.211e+00  3.577366e-02
     240   7.500000e-01  2.9588e-01   500     7.33182e-03   501  8.6715e-07  1.7888e-06   3.320e-03  2.938e-05  9.250e+00  2.951857e-02
     241   7.531250e-01  2.9825e-01   500     7.50771e-03   501  8.4339e-07  1.7398e-06   3.269e-03  2.986e-05  9.289e+00  3.600819e-02
     242   7.562500e-01  3.0062e-01   500     7.68671e-03   501  8.1972e-07  1.6910e-06   3.218e-03  3.035e-05  9.327e+00  3.743899e-02
     243   7.593750e-01  3.0299e-01   500     7.86886e-03   501  7.9613e-07  1.6423e-06   3.168e-03  3.083e-05  9.366e+00  3.503502e-02
     244   7.625000e-01  3.0537e-01   500     8.05417e-03   501  7.7263e-07  1.5938e-06   3.119e-03  3.132e-05  9.404e+00  3.601222e-02
     245   7.656250e-01  3.0774e-01   500     8.24267e-03   501  7.4923e-07  1.5455e-06   3.070e-03  3.182e-05  9.442e+00  3.102510e-02
     246   7.687500e-01  3.1011e-01   500     8.43439e-03   501  7.2592e-07  1.4975e-06   3.022e-03  3.232e-05  9.480e+00  3.748307e-02
     247   7.718750e-01  3.1248e-01   500     8.62935e-03   501  7.0271e-07  1.4496e-06   2.974e-03  3.282e-05  9.517e+00  3.565665e-02
     248   7.750000e-01  3.1484e-01   500     8.82757e-03   501  6.7962e-07  1.4019e-06   2.928e-03  3.332e-05  9.555e+00  3.785171e-02
     249   7.781250e-01  3.1721e-01   500     9.02907e-03   501  6.5664e-07  1.3545e-06   2.882e-03  3.383e-05  9.592e+00  3.025487e-02
     250   7.812500e-01  3.1959e-01   500     9.23388e-03   501  6.3378e-07  1.3074e-06   2.837e-03  3.435e-05  9.630e+00  3.699729e-02
     251   7.843750e-01  3.2196e-01   500     9.44202e-03   501  6.1105e-07  1.2605e-06   2.794e-03  3.486e-05  9.667e+00  3.551216e-02
     252   7.875000e-01  3.2434e-01   500     9.65350e-03   501  5.8847e-07  1.2139e-06   2.751e-03  3.538e-05  9.704e+00  3.550296e-02
     253   7.906250e-01  3.2671e-01   500     9.86835e-03   501  5.6605e-07  1.1677e-06   2.710e-03  3.591e-05  9.741e+00  3.625300e-02
     254   7.937500e-01  3.2907e-01   500     1.00866e-02   501  5.4381e-07  1.1218e-06   2.670e-03  3.643e-05  9.777e+00  3.621432e-02
     255   7.968750e-01  3.3144e-01   500     1.03082e-02   501  5.2175e-07  1.0763e-06   2.632e-03  3.696e-05  9.814e+00  3.605498e-02
     256   8.000000e-01  3.3380e-01   500     1.05333e-02   501  4.9991e-07  1.0312e-06   2.595e-03  3.750e-05  9.850e+00  3.546803e-02
     257   8.031250e-01  3.3616e-01   500     1.07617e-02   501  4.7831e-07  9.8667e-07   2.559e-03  3.803e-05  9.887e+00  3.638952e-02
     258   8.062500e-01  3.3852e-01   500     1.09937e-02   501  4.5698e-07  9.4267e-07   2.526e-03  3.857e-05  9.923e+00  3.840327e-02
     259   8.093750e-01  3.4088e-01   500     1.12291e-02   501  4.3596e-07  8.9930e-07   2.494e-03  3.911e-05  9.959e+00  3.700047e-02
     260   8.125000e-01  3.4324e-01   500     1.14679e-02   501  4.1529e-07  8.5666e-07   2.464e-03  3.966e-05  9.994e+00  3.744371e-02
     261   8.156250e-01  3.4561e-01   500     1.17102e-02   501  3.9502e-07  8.1486e-07   2.435e-03  4.021e-05  1.003e+01  3.609965e-02
     262   8.187500e-01  3.4798e-01   500     1.19561e-02   501  3.7522e-07  7.7401e-07   2.409e-03  4.076e-05  1.007e+01  3.593039e-02
     263   8.218750e-01  3.5035e-01   500     1.22054e-02   501  3.5597e-07  7.3430e-07   2.385e-03  4.132e-05  1.010e+01  3.571947e-02
     264   8.250000e-01  3.5271e-01   500     1.24583e-02   501  3.3735e-07  6.9589e-07   2.364e-03  4.187e-05  1.014e+01  5.771323e-02
     265   8.281250e-01  3.5508e-01   500     1.27146e-02   501  3.1948e-07  6.5901e-07   2.344e-03  4.243e-05  1.017e+01  1.044274e-01
     266   8.312500e-01  3.5749e-01   500     1.29745e-02   501  3.0248e-07  6.2395e-07   2.327e-03  4.300e-05  1.021e+01  3.180479e-02
     267   8.343750e-01  3.5990e-01   500     1.32379e-02   501  2.8651e-07  5.9100e-07   2.313e-03  4.356e-05  1.024e+01  3.757557e-02
     268   8.375000e-01  3.6230e-01   500     1.35048e-02   501  2.7175e-07  5.6056e-07   2.301e-03  4.413e-05  1.027e+01  3.108617e-02
     269   8.406250e-01  3.6470e-01   500     1.37753e-02   501  2.5842e-07  5.3305e-07   2.291e-03  4.470e-05  1.031e+01  3.654037e-02
     270   8.437500e-01  3.6710e-01   500     1.40493e-02   501  2.4673e-07  5.0895e-07   2.284e-03  4.527e-05  1.034e+01  3.706299e-02
     271   8.468750e-01  3.6949e-01   500     1.43269e-02   501  2.3695e-07  4.8876e-07   2.280e-03  4.585e-05  1.038e+01  3.541368e-02
     272   8.500000e-01  3.7187e-01   500     1.46079e-02   501  2.2930e-07  4.7300e-07   2.278e-03  4.643e-05  1.041e+01  3.652473e-02
     273   8.531250e-01  3.7425e-01   500     1.48925e-02   501  2.2402e-07  4.6211e-07   2.279e-03  4.701e-05  1.044e+01  3.715778e-02
     274   8.562500e-01  3.7663e-01   500     1.51806e-02   501  2.2128e-07  4.5645e-07   2.283e-03  4.759e-05  1.048e+01  3.677153e-02
     275   8.593750e-01  3.7900e-01   500     1.54722e-02   501  2.2118e-07  4.5624e-07   2.289e-03  4.817e-05  1.051e+01  3.604364e-02
     276   8.625000e-01  3.8136e-01   500     1.57673e-02   501  2.2371e-07  4.6147e-07   2.298e-03  4.876e-05  1.054e+01  3.606049e-02
     277   8.656250e-01  3.8372e-01   500     1.60659e-02   501  2.2881e-07  4.7199e-07   2.310e-03  4.935e-05  1.058e+01  3.616186e-02
     278   8.687500e-01  3.8616e-01   500     1.63679e-02   501  2.3631e-07  4.8746e-07   2.325e-03  4.994e-05  1.061e+01  3.640565e-02
     279   8.718750e-01  3.8863e-01   500     1.66734e-02   501  2.4600e-07  5.0744e-07   2.341e-03  5.053e-05  1.064e+01  3.073784e-02
     280   8.750000e-01  3.9108e-01   500     1.69824e-02   501  2.5763e-07  5.3144e-07   2.361e-03  5.112e-05  1.067e+01  3.675199e-02
     281   8.781250e-01  3.9354e-01   500     1.72948e-02   501  2.7096e-07  5.5894e-07   2.383e-03  5.172e-05  1.071e+01  3.567896e-02
     282   8.812500e-01  3.9598e-01   500     1.76106e-02   501  2.8576e-07  5.8947e-07   2.407e-03  5.231e-05  1.074e+01  3.503491e-02
     283   8.843750e-01  3.9842e-01   500     1.79298e-02   501  3.0182e-07  6.2260e-07   2.433e-03  5.291e-05  1.077e+01  3.118226e-02
     284   8.875000e-01  4.0086e-01   500     1.82524e-02   501  3.1895e-07  6.5795e-07   2.462e-03  5.351e-05  1.080e+01  9.775403e-02
     285   8.906250e-01  4.0329e-01   500     1.85783e-02   501  3.3700e-07  6.9519e-07   2.492e-03  5.411e-05  1.083e+01  3.632873e-02
     286   8.937500e-01  4.0571e-01   500     1.89075e-02   501  3.5584e-07  7.3405e-07   2.525e-03  5.471e-05  1.087e+01  2.986718e-02
     287   8.968750e-01  4.0812e-01   500     1.92401e-02   501  3.7535e-07  7.7429e-07   2.560e-03  5.532e-05  1.090e+01  3.671477e-02
     288   9.000000e-01  4.1053e-01   500     1.95759e-02   501  3.9543e-07  8.1573e-07   2.597e-03  5.592e-05  1.093e+01  3.454253e-02
     289   9.031250e-01  4.1293e-01   500     1.99149e-02   501  4.1602e-07  8.5820e-07   2.635e-03  5.653e-05  1.096e+01  4.639235e-02
     290   9.062500e-01  4.1532e-01   500     2.02572e-02   501  4.3705e-07  9.0157e-07   2.675e-03  5.713e-05  1.099e+01  2.993208e-02
     291   9.093750e-01  4.1771e-01   500     2.06026e-02   501  4.5846e-07  9.4574e-07   2.717e-03  5.774e-05  1.102e+01  3.545299e-02
     292   9.125000e-01  4.2008e-01   500     2.09512e-02   501  4.8020e-07  9.9059e-07   2.760e-03  5.834e-05  1.105e+01  3.537709e-02
     293   9.156250e-01  4.2245e-01   500     2.13028e-02   501  5.0225e-07  1.0361e-06   2.804e-03  5.895e-05  1.108e+01  3.711961e-02
     294   9.187500e-01  4.2481e-01   500     2.16575e-02   501  5.2456e-07  1.0821e-06   2.850e-03  5.956e-05  1.111e+01  3.619862e-02
     295   9.218750e-01  4.2716e-01   500     2.20153e-02   501  5.4711e-07  1.1286e-06   2.897e-03  6.017e-05  1.114e+01  3.614882e-02
     296   9.250000e-01  4.2951e-01   500     2.23760e-02   501  5.6989e-07  1.1756e-06   2.946e-03  6.078e-05  1.117e+01  3.562808e-02
     297   9.281250e-01  4.3184e-01   500     2.27397e-02   501  5.9286e-07  1.2230e-06   2.995e-03  6.139e-05  1.120e+01  3.617239e-02
     298   9.312500e-01  4.3416e-01   500     2.31062e-02   501  6.1602e-07  1.2708e-06   3.045e-03  6.200e-05  1.123e+01  3.640266e-02
     299   9.343750e-01  4.3648e-01   500     2.34756e-02   501  6.3934e-07  1.3189e-06   3.097e-03  6.261e-05  1.125e+01  3.813571e-02
     300   9.375000e-01  4.3878e-01   500     2.38478e-02   501  6.6282e-07  1.3673e-06   3.149e-03  6.321e-05  1.128e+01  3.846797e-02
     301   9.406250e-01  4.4107e-01   500     2.42228e-02   501  6.8645e-07  1.4161e-06   3.202e-03  6.382e-05  1.131e+01  3.656139e-02
     302   9.437500e-01  4.4336e-01   500     2.46004e-02   501  7.1022e-07  1.4651e-06   3.256e-03  6.443e-05  1.134e+01  3.607528e-02
     303   9.468750e-01  4.4563e-01   500     2.49807e-02   501  7.3412e-07  1.5144e-06   3.311e-03  6.504e-05  1.137e+01  3.636358e-02
     304   9.500000e-01  4.4789e-01   500     2.53635e-02   501  7.5815e-07  1.5640e-06   3.366e-03  6.565e-05  1.140e+01  4.085922e-02
     305   9.531250e-01  4.5014e-01   500     2.57489e-02   501  7.8229e-07  1.6138e-06   3.422e-03  6.626e-05  1.142e+01  3.779046e-02
     306   9.562500e-01  4.5238e-01   500     2.61368e-02   501  8.0654e-07  1.6638e-06   3.478e-03  6.686e-05  1.145e+01  7.733987e-02
     307   9.593750e-01  4.5461e-01   500     2.65270e-02   501  8.3091e-07  1.7141e-06   3.535e-03  6.747e-05  1.148e+01  3.634145e-02
     308   9.625000e-01  4.5682e-01   500     2.69196e-02   501  8.5538e-07  1.7646e-06   3.592e-03  6.807e-05  1.151e+01  3.644149e-02
     309   9.656250e-01  4.5903e-01   500     2.73145e-02   501  8.7996e-07  1.8152e-06   3.650e-03  6.868e-05  1.153e+01  5.402475e-02
     310   9.687500e-01  4.6122e-01   500     2.77116e-02   501  9.0464e-07  1.8662e-06   3.708e-03  6.928e-05  1.156e+01  3.542708e-02
     311   9.718750e-01  4.6339e-01   500     2.81108e-02   501  9.2941e-07  1.9173e-06   3.766e-03  6.988e-05  1.158e+01  3.705791e-02
     312   9.750000e-01  4.6556e-01   500     2.85122e-02   501  9.5428e-07  1.9686e-06   3.825e-03  7.048e-05  1.161e+01  3.562366e-02
     313   9.781250e-01  4.6771e-01   500     2.89155e-02   501  9.7925e-07  2.0201e-06   3.884e-03  7.108e-05  1.164e+01  3.811302e-02
     314   9.812500e-01  4.6985e-01   500     2.93208e-02   501  1.0043e-06  2.0718e-06   3.943e-03  7.168e-05  1.166e+01  4.019760e-02
     315   9.843750e-01  4.7198e-01   500     2.97279e-02   501  1.0295e-06  2.1237e-06   4.002e-03  7.228e-05  1.169e+01  5.541652e-02
     316   9.875000e-01  4.7409e-01   500     3.01369e-02   501  1.0547e-06  2.1757e-06   4.062e-03  7.287e-05  1.171e+01  3.552175e-02
     317   9.906250e-01  4.7619e-01   500     3.05476e-02   501  1.0801e-06  2.2280e-06   4.121e-03  7.347e-05  1.174e+01  4.100917e-02
     318   9.937500e-01  4.7827e-01   500     3.09599e-02   501  1.1055e-06  2.2805e-06   4.181e-03  7.406e-05  1.176e+01  5.201570e-02
     319   9.968750e-01  4.8034e-01   500     3.13737e-02   501  1.1310e-06  2.3331e-06   4.240e-03  7.465e-05  1.179e+01  3.085633e-02
     320   1.000000e+00  4.8239e-01   500     3.17891e-02   501  1.1566e-06  2.3860e-06   4.300e-03  7.524e-05  1.181e+01  3.602548e-02
     321   1.003125e+00  4.8443e-01   500     3.22059e-02   501  1.1714e-06  2.4165e-06   4.327e-03  7.582e-05  1.184e+01  3.703731e-02
     322   1.006250e+00  4.8645e-01   500     3.26240e-02   501  1.1700e-06  2.4136e-06   4.312e-03  7.641e-05  1.186e+01  3.835871e-02
     323   1.009375e+00  4.8846e-01   500     3.30433e-02   501  1.1633e-06  2.3997e-06   4.287e-03  7.699e-05  1.189e+01  3.011810e-02
     324   1.012500e+00  4.9046e-01   500     3.34639e-02   501  1.1579e-06  2.3885e-06   4.264e-03  7.757e-05  1.191e+01  3.617113e-02
     325   1.015625e+00  4.9244e-01   500     3.38855e-02   501  1.1544e-06  2.3814e-06   4.246e-03  7.814e-05  1.193e+01  3.514470e-02
     326   1.018750e+00  4.9440e-01   500     3.43082e-02   501  1.1516e-06  2.3756e-06   4.228e-03  7.872e-05  1.196e+01  3.678888e-02
     327   1.021875e+00  4.9635e-01   500     3.47319e-02   501  1.1486e-06  2.3694e-06   4.211e-03  7.929e-05  1.198e+01  3.420420e-02
     328   1.025000e+00  4.9828e-01   500     3.51565e-02   501  1.1454e-06  2.3628e-06   4.193e-03  7.986e-05  1.200e+01  3.862967e-02
     329   1.028125e+00  5.0020e-01   500     3.55819e-02   501  1.1421e-06  2.3559e-06   4.175e-03  8.043e-05  1.202e+01  3.805556e-02
     330   1.031250e+00  5.0211e-01   500     3.60081e-02   501  1.1388e-06  2.3491e-06   4.157e-03  8.099e-05  1.205e+01  3.661064e-02
     331   1.034375e+00  5.0400e-01   500     3.64350e-02   501  1.1355e-06  2.3424e-06   4.140e-03  8.155e-05  1.207e+01  5.154480e-02
     332   1.037500e+00  5.0587e-01   500     3.68626e-02   501  1.1322e-06  2.3357e-06   4.122e-03  8.212e-05  1.209e+01  3.533169e-02
     333   1.040625e+00  5.0773e-01   500     3.72907e-02   501  1.1290e-06  2.3289e-06   4.105e-03  8.267e-05  1.211e+01  3.081204e-02
     334   1.043750e+00  5.0958e-01   500     3.77193e-02   501  1.1257e-06  2.3222e-06   4.087e-03  8.323e-05  1.213e+01  3.671790e-02
     335   1.046875e+00  5.1141e-01   500     3.81483e-02   501  1.1224e-06  2.3154e-06   4.070e-03  8.378e-05  1.216e+01  3.579431e-02
     336   1.050000e+00  5.1322e-01   500     3.85778e-02   501  1.1191e-06  2.3086e-06   4.053e-03  8.433e-05  1.218e+01  4.101909e-02
     337   1.053125e+00  5.1503e-01   500     3.90075e-02   501  1.1158e-06  2.3018e-06   4.036e-03  8.488e-05  1.220e+01  3.740388e-02
     338   1.056250e+00  5.1681e-01   500     3.94374e-02   501  1.1125e-06  2.2950e-06   4.019e-03  8.543e-05  1.222e+01  3.715556e-02
     339   1.059375e+00  5.1859e-01   500     3.98676e-02   501  1.1092e-06  2.2882e-06   4.002e-03  8.597e-05  1.224e+01  3.682493e-02
     340   1.062500e+00  5.2034e-01   500     4.02978e-02   501  1.1059e-06  2.2814e-06   3.985e-03  8.652e-05  1.226e+01  4.011866e-02
     341   1.065625e+00  5.2209e-01   500     4.07281e-02   501  1.1026e-06  2.2746e-06   3.968e-03  8.705e-05  1.228e+01  5.186657e-02
     342   1.068750e+00  5.2382e-01   500     4.11584e-02   501  1.0993e-06  2.2678e-06   3.951e-03  8.759e-05  1.230e+01  3.744264e-02
     343   1.071875e+00  5.2553e-01   500     4.15886e-02   501  1.0960e-06  2.2609e-06   3.934e-03  8.813e-05  1.232e+01  3.579570e-02
     344   1.075000e+00  5.2723e-01   500     4.20186e-02   501  1.0927e-06  2.2540e-06   3.918e-03  8.866e-05  1.234e+01  3.585231e-02
     345   1.078125e+00  5.2892e-01   500     4.24485e-02   501  1.0893e-06  2.2472e-06   3.901e-03  8.919e-05  1.236e+01  3.741080e-02
     346   1.081250e+00  5.3059e-01   500     4.28781e-02   501  1.0860e-06  2.2403e-06   3.885e-03  8.971e-05  1.238e+01  3.587316e-02
     347   1.084375e+00  5.3225e-01   500     4.33073e-02   501  1.0827e-06  2.2334e-06   3.868e-03  9.024e-05  1.240e+01  3.603443e-02
     348   1.087500e+00  5.3390e-01   500     4.37362e-02   501  1.0793e-06  2.2265e-06   3.852e-03  9.076e-05  1.242e+01  3.721515e-02
     349   1.090625e+00  5.3553e-01   500     4.41647e-02   501  1.0759e-06  2.2196e-06   3.836e-03  9.128e-05  1.244e+01  3.578718e-02
     350   1.093750e+00  5.3714e-01   500     4.45926e-02   501  1.0726e-06  2.2126e-06   3.820e-03  9.180e-05  1.246e+01  3.786216e-02
     351   1.096875e+00  5.3875e-01   500     4.50200e-02   501  1.0692e-06  2.2057e-06   3.804e-03  9.232e-05  1.248e+01  3.653047e-02
     352   1.100000e+00  5.4034e-01   500     4.54469e-02   501  1.0658e-06  2.1987e-06   3.787e-03  9.283e-05  1.249e+01  3.651859e-02
     353   1.103125e+00  5.4191e-01   500     4.58730e-02   501  1.0625e-06  2.1917e-06   3.771e-03  9.334e-05  1.251e+01  3.611792e-02
     354   1.106250e+00  5.4347e-01   500     4.62984e-02   501  1.0591e-06  2.1847e-06   3.756e-03  9.385e-05  1.253e+01  6.489806e-01
     355   1.109375e+00  5.4502e-01   500     4.67231e-02   501  1.0557e-06  2.1777e-06   3.740e-03  9.435e-05  1.255e+01  9.988424e-01
     356   1.112500e+00  5.4656e-01   500     4.71470e-02   501  1.0523e-06  2.1707e-06   3.724e-03  9.486e-05  1.257e+01  3.109377e-02
     357   1.115625e+00  5.4808e-01   500     4.75700e-02   501  1.0489e-06  2.1637e-06   3.708e-03  9.536e-05  1.259e+01  3.654110e-02
     358   1.118750e+00  5.4958e-01   500     4.79921e-02   501  1.0454e-06  2.1566e-06   3.692e-03  9.586e-05  1.260e+01  3.673372e-02
     359   1.121875e+00  5.5108e-01   500     4.84133e-02   501  1.0420e-06  2.1496e-06   3.677e-03  9.635e-05  1.262e+01  3.617142e-02
     360   1.125000e+00  5.5256e-01   500     4.88334e-02   501  1.0386e-06  2.1425e-06   3.661e-03  9.685e-05  1.264e+01  3.565339e-02
     361   1.128125e+00  5.5403e-01   500     4.92525e-02   501  1.0352e-06  2.1354e-06   3.646e-03  9.734e-05  1.266e+01  3.595919e-02
     362   1.131250e+00  5.5548e-01   500     4.96705e-02   501  1.0317e-06  2.1283e-06   3.630e-03  9.783e-05  1.267e+01  3.650840e-02
     363   1.134375e+00  5.5692e-01   500     5.00874e-02   501  1.0283e-06  2.1212e-06   3.615e-03  9.831e-05  1.269e+01  3.558892e-02
     364   1.137500e+00  5.5835e-01   500     5.05031e-02   501  1.0248e-06  2.1141e-06   3.600e-03  9.880e-05  1.271e+01  3.626188e-02
     365   1.140625e+00  5.5977e-01   500     5.09176e-02   501  1.0214e-06  2.1070e-06   3.584e-03  9.928e-05  1.272e+01  3.598152e-02
